TYPE,type_new,banner_code,NAME,occupant,address,date_constr,date_acqd,date_reno,sqft,rental,main_meter,main_disagg,weis_meter
Academic,Academic,1110,162-164  Dickinson Ave.,DEAL Archeology Labs,162-164 Dickinson Ave.,,1998,2010,2500,0,0,0,0
Academic,Academic,1540,46 S. West St.,Music office/rehearsal space,46 S. West St.,,1982,,1775,0,0,0,0
Academic,Academic,1035,57 S. College,Education Dept. Offices,57 S. College St.,,1979,,4576,0,0,0,0
Academic,Academic,1030,East College,Humanities,50 N. West St. ,1836,,2019,28050,0,0,0,0
Academic,Academic,1040,Goodyear Arts Studio,Fine Arts ,559 W. Louther St.,1891,1979,2000,30000,0,0,0,0
Academic,Academic,1810,Green Valley Sanctuary,Research Facility,,,1966,,2500,0,0,0,0
Academic,Academic,1665,Carlisle Theatre,Cubiculo,44 W. High St.,,,1997,4000,1,0,0,0
Academic,Academic,1005,Althouse,"IBM, African Studies",261 W. Louther St.,1957,,2009,29133,0,1,1,0
Academic,Academic,1010,Bosler,Foreign Languages,201 W. High St.,1884,,1940,33692,0,1,1,0
Academic,Academic,1060,Montgomery House,Theatre and Dance,324 W. Louther St. ,1837,1950,2002,11039,0,1,1,0
Academic,Academic,1065,Stern Center,Global Education,208 W. Louther St.,1885,,2001,22000,0,1,1,0
Academic,Academic,1090,Biddle House,"Registrar, Career Center, Advising",8 N. College St.,1827,1946,,12600,0,1,0,0
Academic,Academic,1015,Clarke Center,Clark Center/CCLA,249-255 W. Louther St.,,1987,,6638,0,1,0,0
Academic,Academic,1095,Cook House,Center for the Future of Native Peoples,239 W. Louther St.,,1986,,3138,0,1,0,0
Academic,Academic,1025,Denny Hall,Social Sciences,199 W. High St.,1905,,1984,36512,0,1,0,0
Academic,Academic,1685,Kaufman Hall,"Geology, EnviSci, ALLARM, CSE, Psychology",400 W. North / 145 Cherry St.,,2004,2007,53539,0,1,0,0
Academic,Academic,1432,Keck Archeology Lab,Archeology,169 W. High St.,,1998,,1511,0,1,0,0
Academic,Academic,1045,Rector Science Center,"Biology, Psychology, Chemistry, Neuroscience, Biochemistry, Molecular biology",301 W. Louther St.,2007,,,112800,0,1,0,0
Academic,Academic,1070,Tome,"Physics, Astronomy, Math, Computer Science",343 W. Louther St.,2000,,,52000,0,1,0,0
Academic,Academic,1075,Waidner Spahr Library,LIS,333 W. High St. ,1967/1998,,,120000,0,1,0,0
Academic,Academic,1195,61 N. West St.,House Divided/Diamond 6,61 N. West St.,1895,1993,,3091,0,1,0,0
OFFLINE,Academic,1020,Dana,Offline,277 W. Louther St.,1966,,,29544,0,1,0,0
Administration,Admin,1275,41 Conway St.,Title IX,41 Conway St.,,,,2200,0,0,0,0
Administration,Admin,1999,5 N. Orange St. - Facilities,"Facilities Management, Print Center, CASE",5 N. Orange St.,,1994,,75000,0,0,0,0
Administration,Admin,1085,50 Mooreland Ave.,"College Relations, Development",50 Mooreland Ave.,,1998,,27100,0,0,0,0
Administration,Admin,1585,554 W. Louther St.,ROTC Offices ,554 W. Louther St.,,1984,2017,1440,0,0,0,0
Administration,Admin,1590,556 W. Louther St.,ROTC Offices,556 W. Louther St.,,1987,2017,2000,0,0,0,0
Administration,Admin,1140,South College Annex,IT Storage,218 W. Church Ave.,1949,1957,,1800,0,0,0,1
Administration,Admin,1145,South College East,IT,220 W. Church Ave.,1948,,,10566,0,0,0,1
Administration,Admin,1150,South College West,Financial Aid/Cashier's office,222 W. Church Ave.,1948,,,21166,0,0,0,1
Administration,Admin,1155,Waidner Admissions,Admissions,272 W. High St.,1912,1964,2019,14040,0,0,0,1
Administration,Admin,1120,Old West,"President's Office, Finance & Administration, Provost, Legal, Disability Services",230 W. Louther St.,1803,,,30208,0,1,1,0
Administration,Admin,1685,Kaufman Hall,Public Safety,400 W. North / 145 Cherry,,2004,2007,7169,0,1,0,0
Administration,Admin,1685,Kaufman Hall,Facilities Management Storage,400 W. North St.,,2004,2007,17307,0,1,0,0
Administration,Admin,1130,Rand House,Human Resources,55 N. West St.,1900,1985,,2540,0,1,0,0
Community,Community,1210,Allison Church,"Social space, meeting rooms, offices",99 Mooreland Ave.,1958,2013,,33310,0,0,0,0
Community,Community,1100/1105,DCCC,Daycare,600 Garland Ave.,,1984,2009,10892,0,0,0,0
Community,Community,1050,Landis House,"Women's Center, Diversity Initiatives, Conflict Resolutions",101 S. College St.,1905,1968,,7953,0,0,0,0
Community,Community,1277,President's House (New),Private residence,127 Conway St,,2016,,6274,0,0,0,0
Community,Community,1210,Asbell,Jewish Life,262 W. High St.,1920,1943,2003,5995,0,0,0,1
Community,Community,1245,Historic President's House,Alumni Relations/Guest Housing,212 W. High St.,1833,1890,2023,11256,0,0,0,1
Community,Community,1240,Holland Union Bldg.,"Student Life, Dining Services, Student Activities & Services",28 N. College St.,1966,,,118356,0,1,1,0
Community,Community,1250,"Quarry, The ",Outside Use/Student Social Space,51 N. College St.,1899,1931,2000,6887,0,1,1,0
Community,Community,1215,ATS,Multi-functional space,360 W. Louther St.,1971,,,49403,0,1,0,0
Community,Community,1235,Kline Center Annex,Health and Counseling Centers,42 Cherry St.,1998,,,9300,0,1,0,0
Athletic Bldg.,Other,1161/1162/1164,"Biddle Press Box, Restrooms, Durden ATC","Biddle Press Box, Restrooms, Durden ATC combined",Belvedere St.,,,,24895,0,0,0,0
Athletic Bldg.,Other,1260,Wentzel,Locker Rooms/Indoor Baseball/DCCC during summer + library storage,1250 Ritner Hwy,1993,2002,2020,25000,0,0,0,0
Auxiliary,Other,1305,Kade House ,Guest Housing,31 S. West St.,,1997,,1800,0,0,0,0
Fac/Staff Residence,Other,1857,344 W. North St.,ResLife Staff,344 W. North,1910,2009,,1586,0,0,0,0
Fac/Staff Residence,Other,1858,362 W. North S.,ResLife Staff,362 W. North,1900,2010,,1111,0,0,0,0
Fac/Staff Residence,Other,1300,Boiling Springs Cottage,Farm staff,"553 Park Dr., Boiling Springs",,1967,,2250,0,0,0,0
Fac/Staff Residence,Other,1310,King House,Assitant coaches,103 Conway St. ,1967,2000,,2745,0,0,0,0
Fac/Staff Residence,Other,1824,"119 W. High St. (1, 2, 3)",Visiting Faculty,119 W. High St.,,2012,,2240,1,0,0,0
Fac/Staff Residence,Other,1826,"25 Pomfret St (15, 16)",Visiting Faculty,"25 Pomfret St (15, 16)",,,,,1,0,0,0
Fac/Staff Residence,Other,1819,"49 W. High (1, 2, 3)",Visiting Faculty,49 W. High,,2014,,3000,1,0,0,0
Fac/Staff Residence,Other,,50 Wilson Street,Assitant coaches,50 Wilson St.,,,,,1,0,0,0
Other,Other,1815,"155 W. High St., Ground Floor",Outside lease,155 W. High St.,,2006,,500,0,0,0,0
Other,Other,1589,368 W. North,Victory Circle,368 W. North St.,1900,2010,,992,0,0,0,0
Other,Other,1125,5 N. Orange St. - CPYB/SHARE,CPYB/Project Share,5 N. Orange St.,,1994,,42500,0,0,0,0
Other,Other,1675,Boiling Springs Farm,Barn and Outbuildings and Hoover rental,"575 Park Dr., Boiling Springs",,1967,,14500,0,0,0,0
Athletic Bldg.,Other,1170,Kline Life Sport Complex,Locker Rooms/Fitness Center/Pool/Basketball Court/Indoor track,575 W. High St.,1980,,,124551,0,1,0,0
Auxiliary,Other,1230,Hartman House,Guest Housing,243 W. Louther St.,,1983,,2460,0,1,0,0
Residence Hall,Res Hall - L,1315,Adams,Students,90 S. College St.,1962,,,47750,0,0,0,0
Residence Hall,Res Hall - L,1360,Drayer Hall,Students,60 S. College St.,1952,,,48720,0,0,0,0
Residence Hall,Res Hall - L,1370,Goodyear,Students,551-595 W. Louther St.,1891,1979,2000,60000,0,0,0,0
Residence Hall,Res Hall - L,1317,High Street Residence Hall,Students,450 W. High St.,2018,,,41945,0,0,0,0
Residence Hall,Res Hall - L,1390,Malcolm Hall ,Students,402 W. High St.,1966,,,20434,0,0,0,0
Residence Hall,Res Hall - L,1395,Matthews House,Students,60 Moorland Ave.,1926,1957,,11548,0,0,0,0
Residence Hall,Res Hall - L,1410,Morgan Hall,Students,360 W. High St.,1955,,2003,40000,0,0,0,0
Residence Hall,Res Hall - L,1485,Witwer Hall,Students,90 S. College St.,1965,,,18603,0,0,0,0
Residence Hall,Res Hall - L,1823,27 W. High St.,Students,25-27 W. High St.,1905,,,11750,1,0,0,0
Residence Hall,Res Hall - L,1365,Factory Apts.,Students,230-236 W. North St.,,,,13000,1,0,0,0
Residence Hall,Res Hall - L,1445,Todd House,Students,41 S. College St.,,1964,2003,11340,0,0,0,1
Residence Hall,Res Hall - L,1320,Armstrong / Quad 8,Students,55 Cherry St.,1964,,,10724,0,1,1,0
Residence Hall,Res Hall - L,1325,Atwater / Quad 7,Students,415 Dickinson Ave.,1964,,,10724,0,1,1,0
Residence Hall,Res Hall - L,1330/1400,Baird McClintock / Quad 4-5,Students,412-414 Dickinson Ave.,1964,,2000,26000,0,1,1,0
Residence Hall,Res Hall - L,1335,Buchanan / Quad 2,Students,407 W. High St.,1964,,1995,10724,0,1,1,0
Residence Hall,Res Hall - L,1345,Conway / Quad 1,Students,23 Cherry St.,1964,,1995,10724,0,1,1,0
Residence Hall,Res Hall - L,1355/1480,Davidson Wilson / Quad 9-10,Students,413 Dickinson Ave. / 434 W. Louther,1964,,2005,31000,0,1,1,0
Residence Hall,Res Hall - L,1380,Kisner - Woodward,Students,411 Dickinson Ave.,1969,,,23000,0,1,1,0
Residence Hall,Res Hall - L,1385,Longsdorff / Quad 6,Students,33 Cherry St.,1964,,2001,10724,0,1,1,0
Residence Hall,Res Hall - L,1405,McKenney Hall,Students,410 Dickinson Ave.,1973,,,18933,0,1,1,0
Residence Hall,Res Hall - L,1350,Spradley-Young  / Quad 3,Students,405 W. High St.,1964,,2000,10724,0,1,1,0
Residence Hall,Res Hall - L,1440,Stuart Hall,Students,49 N. West St.,1931,1964,,11520,0,1,0,0
Residence Hall,Res Hall - M,1720,133 N. College St.,Students,133 N. College St.,1890,2004,2019,2272,0,0,0,0
Residence Hall,Res Hall - M,1815,155 W. High St.,Students,155 W. High St. ,,2006,,4000,0,0,0,0
Residence Hall,Res Hall - M,,159 W. High St.,Students,159 W. High St.,,1986,,4500,0,0,0,0
Residence Hall,Res Hall - M,1430,163 W. High St,Students,163 W. High St.,,1998,,4550,0,0,0,0
Residence Hall,Res Hall - M,1431,165 W. High St,Students,165 W. High St.,,1998,,4550,0,0,0,0
Residence Hall,Res Hall - M,1425,Schuman House,Students,34 S. West St.,,1982,,4444,0,0,0,0
Residence Hall,Res Hall - M,1435,Strayer House,Students,131 S. College St.,1930,,,6845,0,0,0,0
Residence Hall,Res Hall - M,1745,Treehouse,Students,532 W. Louther St.,,2006,2006,6000,0,0,0,0
Residence Hall,Res Hall - M,1255,Vincett House ,Students,275 W. Louther St.,,2002,,2700,0,0,0,0
Residence Hall,Res Hall - M,1428,100 S. West St.,Students,100 S. West St.,,,,7190,1,0,0,0
Residence Hall,Res Hall - M,1668,141 W. High St.,Students,141 W. High St.,,,,5825,1,0,0,0
Residence Hall,Res Hall - M,1517,146 W. Louther St.,Students,146 W. Louther St.,,,2022,2864,1,0,0,0
Residence Hall,Res Hall - M,1226,Cherry Apts,Students,128-140 Cherry St.,,,,3519,1,0,0,0
Residence Hall,Res Hall - M,1840,Reed Apts.,Students,502-512 Reed St.,,,,5206,1,0,0,0
Residence Hall,Res Hall - M,1415,Reed House,Students,32 S. West St.,,1954,1958,9562,0,0,0,1
Residence Hall,Res Hall - M,1510,170 W. Louther St.,Students,170 W. Louther St.,,1900,2019,2926,0,1,0,0
Residence Hall,Res Hall - M,1433,171 W. High St.,Students,171 W. High St.,,1998,,3000,0,1,0,0
Residence Hall,Res Hall - M,1055,233 W. Louther St.,Students,233 W. Louther St.,,1986,2022,3675,0,1,0,0
Residence Hall,Res Hall - M,1450,Townhouse - 373 W. Louther St.,Students,373 W. Louther St.,1985,,2019,2016,0,1,0,0
Residence Hall,Res Hall - M,1455,Townhouse - 377 W. Louther St.,Students,377 W. Louther St.,1985,,2019,2016,0,1,0,0
Residence Hall,Res Hall - M,1460,Townhouse - 379 W. Louther St.,Students,379 W. Louther St.,1985,,2019,2016,0,1,0,0
Residence Hall,Res Hall - M,1465,Townhouse - 381 W. Louther St.,Students,381 W. Louther St.,1985,,2019,2016,0,1,0,0
Residence Hall,Res Hall - M,1470,Townhouse - 383 W. Louther St.,Students,383 W. Louther St.,1985,,2019,2016,0,1,0,0
Residence Hall,Res Hall - S,1200,135 Cedar St.,Students,135 Cedar St.,,2001,,1900,0,0,0,0
Residence Hall,Res Hall - S,1265,135 N. College St.,Students,135 N. College St.,1910,1989,2019,1476,0,0,0,0
Residence Hall,Res Hall - S,1267,2 Conway St.,Students,2 Conway St.,,2012,2018,1729,0,0,0,0
Residence Hall,Res Hall - S,1515,417 W. Louther St.,Students,417 W. Louther St.,1870,,2019,1462,0,0,0,0
Residence Hall,Res Hall - S,1525,425 W. Louther St.,Students,425 W. Louther St.,1874,1987,2019,1318,0,0,0,0
Residence Hall,Res Hall - S,1545,49 S. College St.,Students,49 S. College St.,1960,1984,2017,1500,0,0,0,0
Residence Hall,Res Hall - S,1550,505 W. Louther St.,Students,505 W. Louther St.,1910,1982,2017,1492,0,0,0,0
Residence Hall,Res Hall - S,1555,507 W. Louther St.,Students,507 W. Louther St.,1900,2005,2017,1492,0,0,0,0
Residence Hall,Res Hall - S,1740,509 W. Louther St.,Students,509 W. Louther St.,1902,2005,2017,1532,0,0,0,0
Residence Hall,Res Hall - S,1283,513 W. Louther St.,Students,513 W. Louther St.,1910,2014,2017,1532,0,0,0,0
Residence Hall,Res Hall - S,1565,515 W. Louther St.,Students,515 W. Louther St.,1875,2009,2017,1268,0,0,0,0
Residence Hall,Res Hall - S,1565,519 W. Louther St.,Students,519 W. Louther St.,1910,2000,2017,1330,0,0,0,0
Residence Hall,Res Hall - S,1570,521 W. Louther St.,Students,521 W. Louther St.,1910,1983,2017,1448,0,0,0,0
Residence Hall,Res Hall - S,1575,527 W. Louther St.,Students,527 W. Louther St.,1910,1984,2017,1244,0,0,0,0
Residence Hall,Res Hall - S,1580,529 W. Louther St.,Students,529 W. Louther St.,1910,1991,2017,1352,0,0,0,0
Residence Hall,Res Hall - S,1280,531 W. Louther St.,Students,531 W. Louther St.,1910,2001,2017,1636,0,0,0,0
Residence Hall,Res Hall - S,1295,538 W. Louther St.,Students,538 W. Louther St.,,2006,,1200,0,0,0,0
Residence Hall,Res Hall - S,1340,Carriage House,Students,129 W. Chapel Ave.,1930,,,725,0,0,0,0
Residence Hall,Res Hall - S,1490,139 N. College St.,Students,139 N. College St.,1910,1987,2019,1728,0,0,0,0
Residence Hall,Res Hall - S,1560,51 S. College St.,Students,51 S. College St.,1960,1984,2019,1500,0,0,0,0
Residence Hall,Res Hall - S,1432,169 W. High St.,Students,169 W. High St.,,1998,,1489,0,1,0,0
Residence Hall,Res Hall - U,1667,"133 W. High St. (2, 5)",Students,133 W. High St,,,,,1,0,0,0
Residence Hall,Res Hall - U,1518,152 W. Louther St.,Students,152 W. Louther St.,,,,,1,0,0,0
Residence Hall,Res Hall - U,1521,154 W. Louther St. (1),Students,152 W. Louther St.,,,,,1,0,0,0
Residence Hall,Res Hall - U,1821,19-21 W. High St.,Students,19-23 W. High,,,,,1,0,0,0
Residence Hall,Res Hall - U,1822,23 W. High St.,Students,19-23 W. High,,,,,1,0,0,0